Trial_number,Block_number,InteractionType,ComputerChoice,Payoffmatrix,ExchangePos,v1,v2,v3,v4,v5,v6,v7,v8,card1_D,card1_A,card2_D,card2_A,card3_D,card3_A,card4_D,card4_A,card_seq,card_type,ITItime,group_pa,group_pb,group_pc,group_pd,group_pe,group_pf,group_pg,group_ph,S1_choice_pe,S2_choice_pe,S1_choice_pf,S2_choice_pf,S1_choice_pg,S2_choice_pg,S1_choice_ph,S2_choice_ph
21,4,Coop,R1,C1,0,2,3,1,4,3,2,4,1,1,3,2,4,4,2,2,1,,,6,1,2,5,6,3,4,7,8,1,1,2,2,3,3,4,4
22,4,Coop,R1,C1,1,2,3,1,4,3,2,4,1,1,1,2,2,3,4,3,2,,,7,1,2,5,6,3,4,7,8,1,1,2,2,3,3,4,4
23,4,Coop,R1,C1,1,2,3,1,4,3,2,4,1,3,1,2,2,1,4,3,2,,,6,1,2,5,6,3,4,7,8,1,1,2,2,3,3,4,4
24,4,Coop,R1,C1,1,2,3,1,4,3,2,4,1,2,2,4,2,3,1,1,4,,,4,1,2,5,6,3,4,7,8,1,1,2,2,3,3,4,4
25,5,Comp,R2,C3,1,2,1,4,3,4,2,1,3,4,4,4,3,1,3,2,3,1,,5,1,5,3,7,2,4,6,8,1,1,2,2,3,3,4,4
26,5,Comp,R2,C3,1,2,1,4,3,4,2,1,3,3,4,2,4,1,4,1,4,,,8,1,5,3,7,2,4,6,8,1,1,2,2,3,3,4,4
27,5,Comp,R2,C3,1,2,1,4,3,4,2,1,3,3,4,2,4,4,1,3,1,,,6,1,5,3,7,2,4,6,8,1,1,2,2,3,3,4,4
28,5,Comp,R2,C3,0,2,1,4,3,4,2,1,3,4,1,2,4,1,1,3,4,,,4,1,5,3,7,2,4,6,8,1,1,2,2,3,3,4,4
29,5,Comp,R2,C3,0,2,1,4,3,4,2,1,3,2,4,4,1,3,1,2,2,,,6,1,5,3,7,2,4,6,8,1,1,2,2,3,3,4,4
30,5,Comp,R2,C3,0,2,1,4,3,4,2,1,3,3,4,2,2,2,1,1,3,,,5,1,5,3,7,2,4,6,8,1,1,2,2,3,3,4,4
31,6,Comp,R2,C1,0,2,3,1,4,3,2,4,1,4,1,3,3,2,4,4,3,2,,5,1,5,3,7,2,4,6,8,1,1,2,2,3,3,4,4
32,6,Comp,R2,C1,0,2,3,1,4,3,2,4,1,3,2,3,1,4,2,2,4,,,6,1,5,3,7,2,4,6,8,1,1,2,2,3,3,4,4
33,6,Comp,R2,C1,0,2,3,1,4,3,2,4,1,4,4,4,4,2,3,4,4,,,8,1,5,3,7,2,4,6,8,1,1,2,2,3,3,4,4
34,6,Comp,R2,C1,1,2,3,1,4,3,2,4,1,3,2,4,4,3,4,2,2,,,4,1,5,3,7,2,4,6,8,1,1,2,2,3,3,4,4
35,6,Comp,R2,C1,1,2,3,1,4,3,2,4,1,2,3,3,4,3,2,1,3,,,7,1,5,3,7,2,4,6,8,1,1,2,2,3,3,4,4
36,6,Comp,R2,C1,1,2,3,1,4,3,2,4,1,3,2,1,1,4,4,3,3,,,0,1,5,3,7,2,4,6,8,1,1,2,2,3,3,4,4
37,1,Comp,R2,C2,0,3,4,2,1,1,2,4,3,2,2,2,1,3,3,3,3,3,,7,1,2,2,1,,,,,1,1,2,2,3,3,4,4
38,1,Comp,R2,C2,0,3,4,2,1,1,2,4,3,4,3,4,3,4,2,4,4,,,8,1,2,2,1,,,,,1,1,2,2,3,3,4,4
39,1,Comp,R2,C2,0,3,4,2,1,1,2,4,3,1,1,4,3,3,4,4,2,,,6,1,2,2,1,,,,,1,1,2,2,3,3,4,4
40,1,Comp,R2,C2,1,3,4,2,1,1,2,4,3,3,3,1,2,4,1,1,3,,,7,1,2,2,1,,,,,1,1,2,2,3,3,4,4
41,1,Comp,R2,C2,1,3,4,2,1,1,2,4,3,4,2,3,2,2,3,2,3,,,6,1,2,2,1,,,,,1,1,2,2,3,3,4,4
42,1,Comp,R2,C2,1,3,4,2,1,1,2,4,3,3,4,4,2,3,1,3,4,,,4,1,2,2,1,,,,,1,1,2,2,3,3,4,4
43,2,Comp,R2,C1,1,2,3,1,4,3,2,4,1,4,3,4,1,3,2,3,3,3,,5,1,1,2,2,,,,,1,1,2,2,3,3,4,4
44,2,Comp,R2,C1,1,2,3,1,4,3,2,4,1,3,2,4,1,4,1,1,1,,,8,1,1,2,2,,,,,1,1,2,2,3,3,4,4
45,2,Comp,R2,C1,1,2,3,1,4,3,2,4,1,2,4,4,3,2,2,2,2,,,6,1,1,2,2,,,,,1,1,2,2,3,3,4,4
46,2,Comp,R2,C1,0,2,3,1,4,3,2,4,1,2,1,4,4,3,2,3,2,,,4,1,1,2,2,,,,,1,1,2,2,3,3,4,4
47,2,Comp,R2,C1,0,2,3,1,4,3,2,4,1,1,2,2,3,1,2,3,2,,,6,1,1,2,2,,,,,1,1,2,2,3,3,4,4
48,2,Comp,R2,C1,0,2,3,1,4,3,2,4,1,2,2,1,2,1,3,2,3,,,5,1,1,2,2,,,,,1,1,2,2,3,3,4,4
49,3,Coop,R1,C3,0,2,1,4,3,4,2,1,3,1,1,4,4,4,3,1,3,1,,5,1,2,1,2,,,,,1,1,2,2,3,3,4,4
50,3,Coop,R1,C3,0,2,1,4,3,4,2,1,3,2,4,3,1,2,3,3,1,,,6,1,2,1,2,,,,,1,1,2,2,3,3,4,4
51,3,Coop,R1,C3,0,2,1,4,3,4,2,1,3,3,1,2,2,4,4,4,2,,,8,1,2,1,2,,,,,1,1,2,2,3,3,4,4
52,3,Coop,R1,C3,1,2,1,4,3,4,2,1,3,2,3,4,3,1,1,2,3,,,4,1,2,1,2,,,,,1,1,2,2,3,3,4,4
53,3,Coop,R1,C3,1,2,1,4,3,4,2,1,3,1,2,1,4,4,1,2,4,,,7,1,2,1,2,,,,,1,1,2,2,3,3,4,4
54,3,Coop,R1,C3,1,2,1,4,3,4,2,1,3,4,2,4,3,1,3,2,2,,,0,1,2,1,2,,,,,1,1,2,2,3,3,4,4
55,4,Coop,R1,C2,1,3,4,2,1,1,2,4,3,4,2,2,3,4,3,2,4,2,,7,1,1,2,2,,,,,1,1,2,2,3,3,4,4
56,4,Coop,R1,C2,1,3,4,2,1,1,2,4,3,1,2,2,2,2,4,3,3,,,8,1,1,2,2,,,,,1,1,2,2,3,3,4,4
57,4,Coop,R1,C2,1,3,4,2,1,1,2,4,3,1,4,2,3,1,2,1,2,,,6,1,1,2,2,,,,,1,1,2,2,3,3,4,4
58,4,Coop,R1,C2,0,3,4,2,1,1,2,4,3,2,3,3,1,2,2,1,1,,,7,1,1,2,2,,,,,1,1,2,2,3,3,4,4
59,4,Coop,R1,C2,0,3,4,2,1,1,2,4,3,1,4,2,4,3,2,1,1,,,6,1,1,2,2,,,,,1,1,2,2,3,3,4,4
60,4,Coop,R1,C2,0,3,4,2,1,1,2,4,3,4,2,1,2,1,3,2,1,,,4,1,1,2,2,,,,,1,1,2,2,3,3,4,4
61,5,CoCm,X,C3,0,2,1,4,3,4,2,1,3,2,3,4,2,2,1,2,4,1,,5,1,2,2,1,,,,,1,1,2,2,3,3,4,4
62,5,CoCm,X,C3,0,2,1,4,3,4,2,1,3,1,3,4,2,2,1,3,3,,,8,1,2,2,1,,,,,1,1,2,2,3,3,4,4
63,5,CoCm,X,C3,0,2,1,4,3,4,2,1,3,3,1,1,3,1,1,2,1,,,6,1,2,2,1,,,,,1,1,2,2,3,3,4,4
64,5,CoCm,X,C3,1,2,1,4,3,4,2,1,3,1,4,2,4,3,2,1,3,,,4,1,2,2,1,,,,,1,1,2,2,3,3,4,4
65,5,CoCm,X,C3,1,2,1,4,3,4,2,1,3,3,2,2,4,3,4,1,2,,,6,1,2,2,1,,,,,1,1,2,2,3,3,4,4
66,5,CoCm,X,C3,1,2,1,4,3,4,2,1,3,2,2,2,1,1,2,1,1,,,5,1,2,2,1,,,,,1,1,2,2,3,3,4,4
67,6,CoCm,X,C1,0,2,3,1,4,3,2,4,1,4,1,2,1,1,3,1,4,2,,5,1,2,1,2,,,,,1,1,2,2,3,3,4,4
68,6,CoCm,X,C1,0,2,3,1,4,3,2,4,1,3,4,4,1,1,3,3,4,,,6,1,2,1,2,,,,,1,1,2,2,3,3,4,4
69,6,CoCm,X,C1,0,2,3,1,4,3,2,4,1,4,3,2,4,1,2,2,1,,,8,1,2,1,2,,,,,1,1,2,2,3,3,4,4
70,6,CoCm,X,C1,1,2,3,1,4,3,2,4,1,4,1,3,3,3,1,4,4,,,4,1,2,1,2,,,,,1,1,2,2,3,3,4,4
71,6,CoCm,X,C1,1,2,3,1,4,3,2,4,1,3,2,3,3,2,3,4,4,,,7,1,2,1,2,,,,,1,1,2,2,3,3,4,4
72,6,CoCm,X,C1,1,2,3,1,4,3,2,4,1,1,4,1,1,3,2,4,3,,,0,1,2,1,2,,,,,1,1,2,2,3,3,4,4
73,1,CoCm,X,C3,1,2,1,4,3,4,2,1,3,1,3,2,3,4,3,1,4,3,,7,1,2,1,2,,,,,1,1,2,2,3,3,4,4
74,1,CoCm,X,C3,1,2,1,4,3,4,2,1,3,1,2,2,3,1,4,2,1,,,8,1,2,1,2,,,,,1,1,2,2,3,3,4,4
75,1,CoCm,X,C3,1,2,1,4,3,4,2,1,3,2,3,3,4,3,4,2,2,,,6,1,2,1,2,,,,,1,1,2,2,3,3,4,4
76,1,CoCm,X,C3,0,2,1,4,3,4,2,1,3,1,1,4,3,1,3,1,3,,,7,1,2,1,2,,,,,1,1,2,2,3,3,4,4
77,1,CoCm,X,C3,0,2,1,4,3,4,2,1,3,2,3,4,2,1,1,4,1,,,6,1,2,1,2,,,,,1,1,2,2,3,3,4,4
78,1,CoCm,X,C3,0,2,1,4,3,4,2,1,3,1,2,1,1,3,1,2,3,,,4,1,2,1,2,,,,,1,1,2,2,3,3,4,4
79,2,CoCm,X,C2,0,3,4,2,1,1,2,4,3,3,2,4,2,3,4,4,3,1,,5,1,1,2,2,,,,,1,1,2,2,3,3,4,4
80,2,CoCm,X,C2,0,3,4,2,1,1,2,4,3,1,2,4,4,2,2,3,4,,,8,1,1,2,2,,,,,1,1,2,2,3,3,4,4
81,2,CoCm,X,C2,0,3,4,2,1,1,2,4,3,4,4,2,4,4,3,1,4,,,6,1,1,2,2,,,,,1,1,2,2,3,3,4,4
82,2,CoCm,X,C2,1,3,4,2,1,1,2,4,3,2,3,2,4,3,3,4,1,,,4,1,1,2,2,,,,,1,1,2,2,3,3,4,4
83,2,CoCm,X,C2,1,3,4,2,1,1,2,4,3,1,4,3,3,3,2,4,3,,,6,1,1,2,2,,,,,1,1,2,2,3,3,4,4
84,2,CoCm,X,C2,1,3,4,2,1,1,2,4,3,4,1,4,4,2,2,2,4,,,5,1,1,2,2,,,,,1,1,2,2,3,3,4,4
85,3,Comp,R2,C2,1,3,4,2,1,1,2,4,3,4,3,4,1,4,4,3,3,1,,5,1,2,2,1,,,,,1,1,2,2,3,3,4,4
86,3,Comp,R2,C2,1,3,4,2,1,1,2,4,3,1,1,1,1,4,1,4,2,,,6,1,2,2,1,,,,,1,1,2,2,3,3,4,4
87,3,Comp,R2,C2,1,3,4,2,1,1,2,4,3,3,2,3,4,4,1,4,3,,,8,1,2,2,1,,,,,1,1,2,2,3,3,4,4
88,3,Comp,R2,C2,0,3,4,2,1,1,2,4,3,1,4,2,2,4,1,3,4,,,4,1,2,2,1,,,,,1,1,2,2,3,3,4,4
89,3,Comp,R2,C2,0,3,4,2,1,1,2,4,3,1,2,2,1,4,3,3,4,,,7,1,2,2,1,,,,,1,1,2,2,3,3,4,4
90,3,Comp,R2,C2,0,3,4,2,1,1,2,4,3,3,1,3,1,2,2,2,3,,,0,1,2,2,1,,,,,1,1,2,2,3,3,4,4
91,4,Comp,R2,C3,0,2,1,4,3,4,2,1,3,1,1,4,1,1,4,4,2,2,,7,1,2,2,1,,,,,1,1,2,2,3,3,4,4
92,4,Comp,R2,C3,0,2,1,4,3,4,2,1,3,4,1,4,2,3,1,4,2,,,8,1,2,2,1,,,,,1,1,2,2,3,3,4,4
93,4,Comp,R2,C3,0,2,1,4,3,4,2,1,3,3,3,4,2,2,4,1,4,,,6,1,2,2,1,,,,,1,1,2,2,3,3,4,4
94,4,Comp,R2,C3,1,2,1,4,3,4,2,1,3,1,4,1,3,3,2,4,2,,,7,1,2,2,1,,,,,1,1,2,2,3,3,4,4
95,4,Comp,R2,C3,1,2,1,4,3,4,2,1,3,3,1,1,4,2,1,3,1,,,6,1,2,2,1,,,,,1,1,2,2,3,3,4,4
96,4,Comp,R2,C3,1,2,1,4,3,4,2,1,3,3,1,3,4,4,4,2,2,,,4,1,2,2,1,,,,,1,1,2,2,3,3,4,4
97,5,Coop,R1,C3,1,2,1,4,3,4,2,1,3,1,3,1,3,2,4,1,4,3,,5,1,2,1,2,,,,,1,1,2,2,3,3,4,4
98,5,Coop,R1,C3,1,2,1,4,3,4,2,1,3,4,1,2,2,1,2,4,2,,,8,1,2,1,2,,,,,1,1,2,2,3,3,4,4
99,5,Coop,R1,C3,1,2,1,4,3,4,2,1,3,3,4,3,4,1,4,2,2,,,6,1,2,1,2,,,,,1,1,2,2,3,3,4,4
100,5,Coop,R1,C3,0,2,1,4,3,4,2,1,3,1,3,4,4,4,1,2,4,,,4,1,2,1,2,,,,,1,1,2,2,3,3,4,4
101,5,Coop,R1,C3,0,2,1,4,3,4,2,1,3,3,2,4,2,3,2,1,1,,,6,1,2,1,2,,,,,1,1,2,2,3,3,4,4
102,5,Coop,R1,C3,0,2,1,4,3,4,2,1,3,3,1,1,1,4,4,4,1,,,5,1,2,1,2,,,,,1,1,2,2,3,3,4,4
103,6,Coop,R1,C1,1,2,3,1,4,3,2,4,1,2,3,2,4,2,3,4,4,2,,5,1,1,2,2,,,,,1,1,2,2,3,3,4,4
104,6,Coop,R1,C1,1,2,3,1,4,3,2,4,1,4,2,2,2,4,4,3,2,,,6,1,1,2,2,,,,,1,1,2,2,3,3,4,4
105,6,Coop,R1,C1,1,2,3,1,4,3,2,4,1,2,3,3,2,4,4,3,4,,,8,1,1,2,2,,,,,1,1,2,2,3,3,4,4
106,6,Coop,R1,C1,0,2,3,1,4,3,2,4,1,2,1,4,1,2,2,3,1,,,4,1,1,2,2,,,,,1,1,2,2,3,3,4,4
107,6,Coop,R1,C1,0,2,3,1,4,3,2,4,1,4,1,1,4,1,1,4,2,,,7,1,1,2,2,,,,,1,1,2,2,3,3,4,4
108,6,Coop,R1,C1,0,2,3,1,4,3,2,4,1,1,4,2,1,3,4,1,3,,,0,1,1,2,2,,,,,1,1,2,2,3,3,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
